filename,abs_path,source_dir,frames,rows,cols,photometric,bits_stored,pixel_spacing,frame_time,frame_rate,manufacturer,model_name,rescale_intercept,rescale_slope
55,/mnt/pro/DSA/data/ori_data/DICOM1/55,/mnt/pro/DSA/data/ori_data/DICOM1,50,1024,1024,MONOCHROME2,10,None,,6.0,Philips,Allura UNIQ,0,1
56,/mnt/pro/DSA/data/ori_data/DICOM1/56,/mnt/pro/DSA/data/ori_data/DICOM1,44,1024,1024,MONOCHROME2,10,None,,6.0,Philips,Allura UNIQ,0,1
57,/mnt/pro/DSA/data/ori_data/DICOM1/57,/mnt/pro/DSA/data/ori_data/DICOM1,41,1024,1024,MONOCHROME2,10,None,,6.0,Philips,UNIQ Clarity,0,1
58,/mnt/pro/DSA/data/ori_data/DICOM1/58,/mnt/pro/DSA/data/ori_data/DICOM1,44,1024,1024,MONOCHROME2,10,None,,6.0,Philips,Allura UNIQ,0,1
59,/mnt/pro/DSA/data/ori_data/DICOM1/59,/mnt/pro/DSA/data/ori_data/DICOM1,21,1024,1024,MONOCHROME2,10,None,,3.0,Philips,UNIQ Clarity,0,1
6,/mnt/pro/DSA/data/ori_data/DICOM1/6,/mnt/pro/DSA/data/ori_data/DICOM1,39,1024,1024,MONOCHROME2,10,None,,6.0,Philips,UNIQ Clarity,0,1
60,/mnt/pro/DSA/data/ori_data/DICOM1/60,/mnt/pro/DSA/data/ori_data/DICOM1,37,1024,1024,MONOCHROME2,10,None,,6.0,Philips,UNIQ Clarity,0,1
61,/mnt/pro/DSA/data/ori_data/DICOM1/61,/mnt/pro/DSA/data/ori_data/DICOM1,21,1024,1024,MONOCHROME2,10,None,,3.0,Philips,UNIQ Clarity,0,1
62,/mnt/pro/DSA/data/ori_data/DICOM1/62,/mnt/pro/DSA/data/ori_data/DICOM1,42,1024,1024,MONOCHROME2,10,None,,6.0,Philips,UNIQ Clarity,0,1
63,/mnt/pro/DSA/data/ori_data/DICOM1/63,/mnt/pro/DSA/data/ori_data/DICOM1,47,1024,1024,MONOCHROME2,10,None,,6.0,Philips,Allura UNIQ,0,1
64,/mnt/pro/DSA/data/ori_data/DICOM1/64,/mnt/pro/DSA/data/ori_data/DICOM1,43,1024,1024,MONOCHROME2,10,None,,6.0,Philips,UNIQ Clarity,0,1
65,/mnt/pro/DSA/data/ori_data/DICOM1/65,/mnt/pro/DSA/data/ori_data/DICOM1,49,1024,1024,MONOCHROME2,10,None,,6.0,Philips,Allura UNIQ,0,1
66,/mnt/pro/DSA/data/ori_data/DICOM1/66,/mnt/pro/DSA/data/ori_data/DICOM1,43,1024,1024,MONOCHROME2,10,None,,6.0,Philips,UNIQ Clarity,0,1
67,/mnt/pro/DSA/data/ori_data/DICOM1/67,/mnt/pro/DSA/data/ori_data/DICOM1,43,1024,1024,MONOCHROME2,10,None,,6.0,Philips,UNIQ Clarity,0,1
68,/mnt/pro/DSA/data/ori_data/DICOM1/68,/mnt/pro/DSA/data/ori_data/DICOM1,29,750,750,MONOCHROME2,12,None,,4.0,GE MEDICAL SYSTEMS,DL,0,1
69,/mnt/pro/DSA/data/ori_data/DICOM1/69,/mnt/pro/DSA/data/ori_data/DICOM1,41,1024,1024,MONOCHROME2,10,None,,6.0,Philips,UNIQ Clarity,0,1
7,/mnt/pro/DSA/data/ori_data/DICOM1/7,/mnt/pro/DSA/data/ori_data/DICOM1,41,1024,1024,MONOCHROME2,10,None,,6.0,Philips,UNIQ Clarity,0,1
70,/mnt/pro/DSA/data/ori_data/DICOM1/70,/mnt/pro/DSA/data/ori_data/DICOM1,29,1024,1024,MONOCHROME2,10,None,,4.0,Philips,UNIQ Clarity,0,1
71,/mnt/pro/DSA/data/ori_data/DICOM1/71,/mnt/pro/DSA/data/ori_data/DICOM1,47,1024,1024,MONOCHROME2,10,None,,6.0,Philips,Allura UNIQ,0,1
72,/mnt/pro/DSA/data/ori_data/DICOM1/72,/mnt/pro/DSA/data/ori_data/DICOM1,26,1024,1024,MONOCHROME2,10,None,,3.0,Philips,UNIQ Clarity,0,1
73,/mnt/pro/DSA/data/ori_data/DICOM1/73,/mnt/pro/DSA/data/ori_data/DICOM1,42,1024,1024,MONOCHROME2,10,None,,6.0,Philips,Allura UNIQ,0,1
74,/mnt/pro/DSA/data/ori_data/DICOM1/74,/mnt/pro/DSA/data/ori_data/DICOM1,42,1024,1024,MONOCHROME2,10,None,,6.0,Philips,UNIQ Clarity,0,1
75,/mnt/pro/DSA/data/ori_data/DICOM1/75,/mnt/pro/DSA/data/ori_data/DICOM1,45,1024,1024,MONOCHROME2,10,None,,6.0,Philips,UNIQ Clarity,0,1
76,/mnt/pro/DSA/data/ori_data/DICOM1/76,/mnt/pro/DSA/data/ori_data/DICOM1,40,1024,1024,MONOCHROME2,10,None,,6.0,Philips,UNIQ Clarity,0,1
77,/mnt/pro/DSA/data/ori_data/DICOM1/77,/mnt/pro/DSA/data/ori_data/DICOM1,48,1024,1024,MONOCHROME2,10,None,,6.0,Philips,Allura UNIQ,0,1
78,/mnt/pro/DSA/data/ori_data/DICOM1/78,/mnt/pro/DSA/data/ori_data/DICOM1,41,1024,1024,MONOCHROME2,10,None,,6.0,Philips,UNIQ Clarity,0,1
79,/mnt/pro/DSA/data/ori_data/DICOM1/79,/mnt/pro/DSA/data/ori_data/DICOM1,42,1024,1024,MONOCHROME2,10,None,,6.0,Philips,UNIQ Clarity,0,1
8,/mnt/pro/DSA/data/ori_data/DICOM1/8,/mnt/pro/DSA/data/ori_data/DICOM1,42,1024,1024,MONOCHROME2,10,None,,6.0,Philips,UNIQ Clarity,0,1
80,/mnt/pro/DSA/data/ori_data/DICOM1/80,/mnt/pro/DSA/data/ori_data/DICOM1,51,1024,1024,MONOCHROME2,10,None,,6.0,Philips,Allura UNIQ,0,1
81,/mnt/pro/DSA/data/ori_data/DICOM1/81,/mnt/pro/DSA/data/ori_data/DICOM1,42,1024,1024,MONOCHROME2,10,None,,6.0,Philips,Allura UNIQ,0,1
82,/mnt/pro/DSA/data/ori_data/DICOM1/82,/mnt/pro/DSA/data/ori_data/DICOM1,42,1024,1024,MONOCHROME2,10,None,,6.0,Philips,UNIQ Clarity,0,1
83,/mnt/pro/DSA/data/ori_data/DICOM1/83,/mnt/pro/DSA/data/ori_data/DICOM1,39,1024,1024,MONOCHROME2,10,None,,6.0,Philips,UNIQ Clarity,0,1
84,/mnt/pro/DSA/data/ori_data/DICOM1/84,/mnt/pro/DSA/data/ori_data/DICOM1,40,1024,1024,MONOCHROME2,10,None,,6.0,Philips,UNIQ Clarity,0,1
85,/mnt/pro/DSA/data/ori_data/DICOM1/85,/mnt/pro/DSA/data/ori_data/DICOM1,42,1024,1024,MONOCHROME2,10,None,,6.0,Philips,Allura UNIQ,0,1
86,/mnt/pro/DSA/data/ori_data/DICOM1/86,/mnt/pro/DSA/data/ori_data/DICOM1,34,1024,1024,MONOCHROME2,10,None,,4.0,Philips,UNIQ Clarity,0,1
